task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
151	05/77939d	705813	split_samples (151)	COMPLETED	0	2018-08-27 18:22:42.567	16h 55m 56s	20m 15s	333.2%	7.2 GB	27.1 GB	23.8 GB	27.4 GB
157	e9/8c0397	705815	split_samples (157)	COMPLETED	0	2018-08-27 18:22:57.574	16h 55m 41s	13m 40s	608.3%	7.1 GB	27.1 GB	15 GB	17.2 GB
154	ed/ad5493	705816	split_samples (154)	COMPLETED	0	2018-08-27 18:23:12.553	16h 55m 26s	21m 8s	336.0%	7.1 GB	27.1 GB	24.9 GB	28.6 GB
150	73/7dc957	705817	split_samples (150)	COMPLETED	0	2018-08-27 18:23:17.565	16h 55m 21s	20m 26s	353.6%	7.1 GB	27.1 GB	24.2 GB	27.8 GB
160	1c/e9e461	705818	split_samples (160)	COMPLETED	0	2018-08-27 18:23:17.680	16h 55m 21s	19m 36s	493.7%	7.1 GB	27.1 GB	22.9 GB	26.4 GB
147	38/809540	705821	split_samples (147)	COMPLETED	0	2018-08-27 18:23:22.566	16h 55m 16s	15m 27s	436.0%	7.1 GB	27.1 GB	17.6 GB	20.2 GB
156	10/746baa	705827	split_samples (156)	COMPLETED	0	2018-08-27 18:24:00.232	16h 54m 39s	15m 50s	631.9%	7 GB	27.1 GB	18.1 GB	20.8 GB
155	ce/6ad6b4	705832	split_samples (155)	COMPLETED	0	2018-08-27 18:24:27.793	16h 54m 11s	15m 27s	386.5%	7 GB	27.1 GB	17.8 GB	20.5 GB
158	17/30355c	705834	split_samples (158)	COMPLETED	0	2018-08-27 18:24:32.580	16h 54m 7s	13m 26s	1155.1%	7.2 GB	27.1 GB	19.8 GB	22.8 GB
166	89/547647	705837	split_samples (166)	COMPLETED	0	2018-08-27 18:25:07.569	16h 53m 32s	15m 29s	404.6%	7.5 GB	27.1 GB	17.7 GB	20.4 GB
164	1d/65d8d9	705847	split_samples (164)	COMPLETED	0	2018-08-27 18:27:57.621	16h 50m 42s	33m 52s	493.4%	7.8 GB	27.1 GB	55.9 GB	63.8 GB
163	b7/cc2f70	705850	split_samples (163)	COMPLETED	0	2018-08-27 18:28:08.516	16h 50m 31s	31m 48s	549.7%	7.2 GB	27.1 GB	56.7 GB	64.7 GB
167	89/547647	705853	split_samples (167)	COMPLETED	0	2018-08-27 18:28:14.216	16h 50m 25s	15m 29s	404.6%	7.5 GB	27.1 GB	17.7 GB	20.4 GB
181	04/1f7edb	705854	split_samples (181)	COMPLETED	0	2018-08-27 18:28:37.636	16h 50m 2s	20m 58s	498.7%	7.2 GB	27.1 GB	24.2 GB	27.7 GB
152	ae/07c3bd	705864	split_samples (152)	COMPLETED	0	2018-08-27 18:30:12.650	16h 48m 27s	15m 50s	704.0%	7.4 GB	27.1 GB	23.6 GB	27.2 GB
180	04/1f7edb	705868	split_samples (180)	COMPLETED	0	2018-08-27 18:31:27.795	16h 47m 12s	20m 58s	498.7%	7.2 GB	27.1 GB	24.2 GB	27.7 GB
183	79/7fdf10	705870	split_samples (183)	COMPLETED	0	2018-08-27 18:32:22.735	16h 46m 17s	20m 11s	315.5%	7.1 GB	27.1 GB	23.3 GB	26.7 GB
161	57/5caf51	705872	split_samples (161)	COMPLETED	0	2018-08-27 18:32:52.944	16h 45m 46s	19m	354.8%	7.6 GB	27.1 GB	21.9 GB	25.2 GB
182	79/7fdf10	705876	split_samples (182)	COMPLETED	0	2018-08-27 18:33:29.438	16h 45m 10s	20m 11s	315.5%	7.1 GB	27.1 GB	23.3 GB	26.7 GB
191	12/b54977	705880	split_samples (191)	COMPLETED	0	2018-08-27 18:33:52.827	16h 44m 47s	5m 53s	306.7%	6.9 GB	27.1 GB	6.6 GB	7.5 GB
192	12/b54977	705886	split_samples (192)	COMPLETED	0	2018-08-27 18:34:47.745	16h 43m 52s	5m 53s	306.7%	6.9 GB	27.1 GB	6.6 GB	7.5 GB
149	a9/8899af	705890	split_samples (149)	COMPLETED	0	2018-08-27 18:35:03.364	16h 43m 36s	16m 52s	515.4%	7.7 GB	27.1 GB	21.9 GB	25.2 GB
143	98/fe0e83	705891	split_samples (143)	COMPLETED	0	2018-08-27 18:35:11.088	16h 43m 28s	17m 55s	1222.0%	7.7 GB	27.1 GB	23.9 GB	27.4 GB
145	a2/cbc652	705904	split_samples (145)	COMPLETED	0	2018-08-27 18:38:02.940	16h 40m 37s	13m 17s	366.8%	7.1 GB	27.1 GB	18.2 GB	20.9 GB
176	a0/d258fc	705913	split_samples (176)	COMPLETED	0	2018-08-27 18:39:43.503	16h 38m 56s	22m 39s	542.6%	7.2 GB	27.1 GB	29.3 GB	33.6 GB
184	ee/3ed739	705916	split_samples (184)	COMPLETED	0	2018-08-27 18:40:09.413	16h 38m 30s	16m 34s	562.8%	7.1 GB	27.1 GB	22.9 GB	26.3 GB
169	d2/4cd020	705917	split_samples (169)	COMPLETED	0	2018-08-27 18:40:09.536	16h 38m 30s	2m 58s	501.8%	6.7 GB	27.1 GB	3.7 GB	4.2 GB
170	d6/fd0a21	705919	split_samples (170)	COMPLETED	0	2018-08-27 18:40:17.878	16h 38m 22s	18m 10s	576.4%	7.4 GB	27.1 GB	25.3 GB	28.8 GB
189	9a/d17311	705920	split_samples (189)	COMPLETED	0	2018-08-27 18:40:18.031	16h 38m 22s	17m 40s	945.4%	7.3 GB	27.1 GB	23.5 GB	26.9 GB
190	40/df89f0	705922	split_samples (190)	COMPLETED	0	2018-08-27 18:40:27.870	16h 38m 12s	15m 18s	1267.2%	7.9 GB	27.1 GB	21.7 GB	24.9 GB
168	d2/4cd020	705926	split_samples (168)	COMPLETED	0	2018-08-27 18:41:12.837	16h 37m 27s	2m 58s	501.8%	6.7 GB	27.1 GB	3.7 GB	4.2 GB
165	c8/d7b014	705929	split_samples (165)	COMPLETED	0	2018-08-27 18:41:22.851	16h 37m 17s	17m 52s	431.3%	7.1 GB	27.1 GB	24.7 GB	28.3 GB
162	0d/28ada9	705932	split_samples (162)	COMPLETED	0	2018-08-27 18:42:08.533	16h 36m 32s	16m 13s	390.4%	6.9 GB	27.1 GB	22 GB	25.3 GB
171	d6/fd0a21	705935	split_samples (171)	COMPLETED	0	2018-08-27 18:42:27.863	16h 36m 12s	18m 10s	576.4%	7.4 GB	27.1 GB	25.3 GB	28.8 GB
179	94/2514c6	705936	split_samples (179)	COMPLETED	0	2018-08-27 18:42:37.907	16h 36m 2s	16m 32s	267.9%	7.1 GB	27.1 GB	23 GB	26.3 GB
1	57/376f0a	705504	split_samples (1)	COMPLETED	0	2018-08-27 17:37:31.369	17h 41m 9s	29m 49s	1437.0%	7.2 GB	27.1 GB	56.5 GB	64.5 GB
77	57/e2db92	705505	split_samples (77)	COMPLETED	0	2018-08-27 17:37:31.475	17h 41m 9s	19m 9s	345.9%	7.1 GB	27.1 GB	20.5 GB	23.6 GB
82	c4/bcfd3f	705516	split_samples (82)	COMPLETED	0	2018-08-27 17:37:33.099	17h 41m 7s	22m 19s	575.1%	7.1 GB	27.1 GB	23.1 GB	26.7 GB
88	80/311b03	705517	split_samples (88)	COMPLETED	0	2018-08-27 17:37:33.205	17h 41m 7s	21m 39s	432.8%	7.5 GB	27.1 GB	23.4 GB	26.9 GB
90	d1/572120	705518	split_samples (90)	COMPLETED	0	2018-08-27 17:37:33.311	17h 41m 7s	18m 35s	454.2%	7.2 GB	27.1 GB	22.5 GB	25.8 GB
91	09/ddbdee	705519	split_samples (91)	COMPLETED	0	2018-08-27 17:37:33.417	17h 41m 7s	23m 56s	454.7%	7.5 GB	27.1 GB	25.4 GB	29.1 GB
85	a4/dcafd7	705520	split_samples (85)	COMPLETED	0	2018-08-27 17:37:33.537	17h 41m 7s	23m 23s	340.6%	7.3 GB	27.1 GB	25.1 GB	28.9 GB
96	b8/8b74aa	705521	split_samples (96)	COMPLETED	0	2018-08-27 17:37:33.681	17h 41m 7s	18m 56s	326.3%	7.1 GB	27.1 GB	20.4 GB	23.4 GB
95	dd/f3b88a	705522	split_samples (95)	COMPLETED	0	2018-08-27 17:37:33.793	17h 41m 7s	17m 59s	369.5%	7.3 GB	27.1 GB	21.5 GB	24.6 GB
83	d9/b42aae	705523	split_samples (83)	COMPLETED	0	2018-08-27 17:37:33.900	17h 41m 7s	17m 22s	913.1%	7.6 GB	27.1 GB	19.8 GB	22.8 GB
79	b7/7340a1	705524	split_samples (79)	COMPLETED	0	2018-08-27 17:37:34.983	17h 41m 6s	24m 34s	414.1%	7.1 GB	27.1 GB	26.7 GB	30.8 GB
87	e4/5c658f	705526	split_samples (87)	COMPLETED	0	2018-08-27 17:37:37.893	17h 41m 3s	28m 57s	401.3%	7.3 GB	27.1 GB	31.7 GB	36.4 GB
