id	label	spec	geo	date	coord_N	coord_W
18185	18185nigbel	nig	bel	2004-07-26	16.8058333333333	-88.0791666666667
18187	18187nigbel	nig	bel	2004-07-26	16.8058333333333	-88.0791666666667
18195	18195indbel	ind	bel	2004-07-26	16.8058333333333	-88.0791666666667
18222	18222indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
18225	18225indbel	ind	bel	2004-07-27	16.8008333333333	-88.0788888888889
18226	18226indbel	ind	bel	2004-07-27	16.7838888888889	-88.0766666666667
18227	18227indbel	ind	bel	2004-07-27	16.7838888888889	-88.0766666666667
18237	18237indbel	ind	bel	2004-07-27	16.7838888888889	-88.0766666666667
18238	18238indbel	ind	bel	2004-07-27	16.7838888888889	-88.0766666666667
18261	18261unibel	uni	bel	2004-07-24	NA	NA
18267	18267unibel	uni	bel	2004-07-24	NA	NA
18274	18274unibel	uni	bel	2004-07-24	NA	NA
18276	18276unibel	uni	bel	2004-07-25	16.7652777777778	-88.1441666666667
18418	18418nigpan	nig	pan	2004-05-12	9.3775	-82.3038888888889
18419	18419puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18420	18420unipan	uni	pan	2004-05-12	10.2391666666667	-83.1730555555556
18421	18421puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18422	18422puepan	pue	pan	2004-05-12	9.3775	-82.3038888888889
18424	18424nigpan	nig	pan	2004-05-12	10.2391666666667	-83.1730555555556
18426	18426puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18427	18427puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18428	18428nigpan	nig	pan	2004-05-12	10.2391666666667	-83.1730555555556
18429	18429puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18430	18430puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18432	18432puepan	pue	pan	2004-05-12	10.2391666666667	-83.1730555555556
18434	18434puepan	pue	pan	2004-05-12	9.3775	-82.3038888888889
18435	18435unipan	uni	pan	2004-06-23	9.33277777777778	-82.2547222222222
18436	18436nigpan	nig	pan	2004-05-12	9.3775	-82.3038888888889
18439	18439unipan	uni	pan	2004-06-25	9.33277777777778	-82.2547222222222
18440	18440unipan	uni	pan	2004-06-25	9.33277777777778	-82.2547222222222
18441	18441unipan	uni	pan	2004-06-25	9.33277777777778	-82.2547222222222
18442	18442unipan	uni	pan	2004-07-08	9.29833333333333	-82.2894444444444
18445	18445unipan	uni	pan	2004-06-28	9.33277777777778	-82.2547222222222
18446	18446unipan	uni	pan	2004-06-29	9.33277777777778	-82.2547222222222
18447	18447unipan	uni	pan	2004-07-09	9.28944444444444	-82.2588888888889
18448	18448unipan	uni	pan	2004-06-28	9.33277777777778	-82.2547222222222
18450	18450unipan	uni	pan	2004-06-25	9.33277777777778	-82.2547222222222
18454	18454unipan	uni	pan	2004-06-30	9.34805555555556	-82.2633333333333
18901	18901nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18902	18902nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18903	18903nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18904	18904nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18905	18905nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18906	18906nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18907	18907nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18909	18909nigpan	nig	pan	2005-03-25	9.29833333333333	-82.2894444444444
18912	18912puepan	pue	pan	2005-03-25	9.29833333333333	-82.2894444444444
18915	18915puepan	pue	pan	2005-03-25	9.29833333333333	-82.2894444444444
18917	18917puepan	pue	pan	2005-03-25	9.29833333333333	-82.2894444444444
19881	19881unibel	uni	bel	2005-08-16	16.7078055555556	-87.8598055555556
20092	20092unibel	uni	bel	2005-08-15	16.8936388888889	-88.1225555555556
20120	20120unibel	uni	bel	2005-08-11	16.8008333333333	-88.0788888888889
20126	20126unibel	uni	bel	2005-08-12	16.8936388888889	-88.1225555555556
20128	20128unibel	uni	bel	2005-08-12	16.8936388888889	-88.1225555555556
20135	20135unibel	uni	bel	2005-08-12	16.8936388888889	-88.1225555555556
20149	20149unibel	uni	bel	2005-08-12	16.8936388888889	-88.1225555555556
20418	20418gumhon	gum	hon	2006-06-03	16.03	-83.3286111111111
20419	20419gumhon	gum	hon	2006-06-03	16.03	-83.3286111111111
20420	20420gumhon	gum	hon	2006-06-03	16.03	-83.3286111111111
20421	20421tanhon	tan	hon	2006-06-03	16.03	-83.3286111111111
20425	20425abehon	abe	hon	2006-06-03	16.03	-83.3286111111111
20426	20426gumhon	gum	hon	2006-06-04	15.9558333333333	-83.2930555555556
20427	20427gumhon	gum	hon	2006-06-04	15.9558333333333	-83.2930555555556
20428	20428gumhon	gum	hon	2006-06-04	15.9558333333333	-83.2930555555556
20429	20429tanhon	tan	hon	2006-06-04	15.9558333333333	-83.2930555555556
20430	20430tanhon	tan	hon	2006-06-04	15.9558333333333	-83.2930555555556
20433	20433abehon	abe	hon	2006-06-04	15.9558333333333	-83.2930555555556
20478	20478tabhon	tab	hon	2006-06-06	NA	NA
20551	20551puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20552	20552puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20553	20553puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20554	20554puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20555	20555puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20556	20556puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20558	20558puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20559	20559puehon	pue	hon	2006-06-04	15.9558333333333	-83.2930555555556
20560	20560unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20561	20561unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20562	20562unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20563	20563unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20564	20564unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20565	20565unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20566	20566unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20567	20567unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20568	20568unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20571	20571unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20572	20572unihon	uni	hon	2006-06-04	15.9558333333333	-83.2930555555556
20599	20599nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20600	20600nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20601	20601nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20602	20602nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20603	20603nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20604	20604nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20605	20605nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20606	20606nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20607	20607nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20608	20608nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20609	20609nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20610	20610nighon	nig	hon	2006-06-04	15.9558333333333	-83.2930555555556
20613	20613tanhon	tan	hon	2006-06-05	15.9558333333333	-83.2930555555556
20615	20615gumhon	gum	hon	2006-06-05	15.9558333333333	-83.2930555555556
20617	20617gumhon	gum	hon	2006-06-05	15.9558333333333	-83.2930555555556
20625	20625puehon	pue	hon	2006-06-05	15.9558333333333	-83.2930555555556
20633	20633puehon	pue	hon	2006-06-05	15.9558333333333	-83.2930555555556
20635	20635puehon	pue	hon	2006-06-05	15.9558333333333	-83.2930555555556
20638	20638puehon	pue	hon	2006-06-05	15.9558333333333	-83.2930555555556
20641	20641gumhon	gum	hon	2006-06-05	15.9558333333333	-83.2930555555556
20642	20642gumhon	gum	hon	2006-06-05	15.9558333333333	-83.2930555555556
20643	20643gumhon	gum	hon	2006-06-05	15.9558333333333	-83.2930555555556
20644	20644puehon	pue	hon	2006-06-05	15.9558333333333	-83.2930555555556
20696	20696tanhon	tan	hon	2006-06-12	16.1102777777778	-86.9538888888889
20759	20759abehon	abe	hon	2006-06-06	15.25	-82.6166666666667
20761	20761abehon	abe	hon	2006-06-06	15.25	-82.6166666666667
20762	20762abehon	abe	hon	2006-06-06	15.25	-82.6166666666667
20861	20861abehon	abe	hon	2006-06-07	15.25	-82.6166666666667
20862	20862abehon	abe	hon	2006-06-07	15.25	-82.6166666666667
20864	20864abehon	abe	hon	2006-06-07	15.25	-82.6166666666667
20866	20866abehon	abe	hon	2006-06-07	15.25	-82.6166666666667
20867	20867abehon	abe	hon	2006-06-07	15.25	-82.6166666666667
20892	20892tanhon	tan	hon	2006-06-08	16.445	-85.875
20893	20893tanhon	tan	hon	2006-06-08	16.445	-85.875
20894	20894tanhon	tan	hon	2006-06-08	16.445	-85.875
20896	20896tanhon	tan	hon	2006-06-08	16.445	-85.875
20922	20922tanhon	tan	hon	2006-06-09	16.4736111111111	-85.9238888888889
20923	20923tanhon	tan	hon	2006-06-09	16.4736111111111	-85.9238888888889
20980	20980tanhon	tan	hon	2006-06-10	16.4975	-85.9027777777778
27678	27678puepan	pue	pan	NA	NA	NA
28393	28393torpan	tor	pan	2017-02-07	9.3014	-82.2941
PL17_101	PL17_101maybel	may	bel	2017-06-04	16.77096	-88.16366
PL17_119	PL17_119maybel	may	bel	NA	16.48726	-88.27183
PL17_120	PL17_120maybel	may	bel	NA	16.48726	-88.27183
PL17_121	PL17_121maybel	may	bel	NA	16.48726	-88.27183
PL17_122	PL17_122maybel	may	bel	NA	16.48726	-88.27183
PL17_123	PL17_123maybel	may	bel	NA	16.51037	-88.25462
PL17_124	PL17_124maybel	may	bel	NA	16.51037	-88.25462
PL17_126	PL17_126maybel	may	bel	NA	16.51037	-88.25462
PL17_160	PL17_160floflo	flo	flo	NA	24.50768	-81.57143
PL17_89	PL17_89maybel	may	bel	2017-07-04	16.66	-88.185
PL17_95	PL17_95maybel	may	bel	2017-08-04	16.77096	-88.16366
s_tort_3	s_tort_3torpan	tor	pan	NA	NA	NA
